id,time,pee,poop,empty
imp2,2026-02-25T08:20:00.000Z,TRUE,FALSE,FALSE
imp3,2026-02-25T11:40:00.000Z,TRUE,FALSE,FALSE
imp5,2026-02-25T11:35:00.000Z,TRUE,FALSE,FALSE
imp7,2026-02-25T15:05:00.000Z,TRUE,FALSE,FALSE
imp9,2026-02-25T17:50:00.000Z,TRUE,FALSE,FALSE
imp15,2026-02-26T00:15:00.000Z,TRUE,FALSE,FALSE
imp18,2026-02-26T07:30:00.000Z,TRUE,FALSE,FALSE
imp21,2026-02-26T12:30:00.000Z,TRUE,FALSE,FALSE
imp22,2026-02-26T12:35:00.000Z,TRUE,FALSE,FALSE
imp25,2026-02-26T16:00:00.000Z,TRUE,FALSE,FALSE
imp28,2026-02-26T18:15:00.000Z,TRUE,FALSE,FALSE
imp31,2026-02-26T09:50:00.000Z,TRUE,FALSE,FALSE
imp32,2026-02-26T22:00:00.000Z,TRUE,FALSE,FALSE
imp35,2026-02-27T02:50:00.000Z,TRUE,FALSE,FALSE
imp39,2026-02-27T06:55:00.000Z,TRUE,FALSE,FALSE
mm5a0ro08tedo2i0tq6,2026-02-27T19:19:43.649Z,TRUE,FALSE,FALSE
mm5frvamxi789qrlw8b,2026-02-27T21:58:33.876Z,TRUE,FALSE,FALSE
mm5pod17ekqph4plmga,2026-02-28T02:35:49.421Z,TRUE,FALSE,FALSE
mm5y4wmh9hdggcncy7,2026-02-28T06:34:46.839Z,TRUE,FALSE,FALSE
mm62nxof9nbzeky56u,2026-02-28T08:41:25.452Z,TRUE,FALSE,FALSE
mm68doqjfv3vrfvgu3b,2026-02-28T11:10:24.740Z,FALSE,TRUE,FALSE
mm6iepsb79pms94o57l,2026-02-28T16:02:12.067Z,TRUE,FALSE,FALSE
mm6o34a83a5im4v1scm,2026-02-28T18:41:06.947Z,FALSE,TRUE,FALSE
mm6uxjit1mewnvot2dg,2026-02-28T21:00:00.000Z,TRUE,FALSE,FALSE
mm72u7ra98q16u2ghsr,2026-03-01T01:34:11.798Z,TRUE,FALSE,FALSE
mm79dgylzdikqsmjzre,2026-03-01T04:20:59.546Z,TRUE,FALSE,FALSE
mm7ijmkxu18xs663nca,2026-03-01T07:00:00.000Z,TRUE,FALSE,FALSE
mm7q30eiuwlcjji152r,2026-03-01T12:20:48.537Z,TRUE,FALSE,FALSE
mm7q353btggyr00lnn,2026-03-01T12:24:55.245Z,TRUE,FALSE,FALSE
mm82nvqebl7g3e7n5hc,2026-03-01T17:25:53.374Z,TRUE,FALSE,FALSE
mm8n1vv69k66fw5fdy,2026-03-02T03:20:40.958Z,TRUE,FALSE,FALSE
mm90v33afffogjvlwlm,2026-03-02T08:18:00.000Z,TRUE,FALSE,FALSE
mm9ihahorbqyywba77b,2026-03-02T18:27:30.465Z,TRUE,FALSE,FALSE
mm9smm1tq8mckpdybqc,2026-03-02T23:10:39.377Z,TRUE,FALSE,FALSE
mma33y0nldiwj9p2oi,2026-03-03T04:05:01.971Z,TRUE,FALSE,FALSE
mmaa2rad549pfv4cjtc,2026-03-03T07:19:53.934Z,TRUE,FALSE,FALSE
mmahohr3uaabz3dqpb,2026-03-03T10:35:43.957Z,TRUE,FALSE,FALSE
mmaonu0awbez3dilstl,2026-03-03T13:55:48.969Z,TRUE,FALSE,FALSE
mmaxogquxzmcwewcgv,2026-03-03T18:20:45.090Z,TRUE,FALSE,FALSE
mmb33cvqqwdqi37so9q,2026-03-03T20:52:51.129Z,TRUE,FALSE,FALSE
mmbd95ypwsko4q70khj,2026-03-04T01:31:43.421Z,TRUE,FALSE,FALSE
mmbockjzwgk8tos86sn,2026-03-04T06:30:00.117Z,TRUE,FALSE,FALSE
mmbv199zgtess5c0et,2026-03-04T09:54:32.430Z,TRUE,FALSE,FALSE
mmbwse5w06t7adl395nh,2026-03-04T10:30:44.714Z,TRUE,FALSE,FALSE
mmbytn4a1b87e22314ai,2026-03-04T11:40:34.246Z,FALSE,TRUE,FALSE
mmc521tb0uu1r4gutsp,2026-03-04T14:35:05.412Z,TRUE,FALSE,FALSE
mmcj7vixfc3gkxhpzvj,2026-03-04T21:00:21.937Z,TRUE,FALSE,FALSE
mmcj876rafebywdyd4,2026-03-04T21:02:35.774Z,TRUE,FALSE,FALSE
mmctd0ipomd304uihj,2026-03-05T01:55:24.321Z,TRUE,FALSE,FALSE
mmd2zi8f61f65qmq6rg,2026-03-05T06:24:04.453Z,TRUE,FALSE,FALSE
mmdahgtfkz6tbo0fi88,2026-03-05T09:49:46.395Z,TRUE,FALSE,FALSE
mmdiyw4pqtuo8ov3vu,2026-03-05T12:30:00.000Z,TRUE,FALSE,FALSE
mmdmgn1p4hda2xh4y62,2026-03-05T15:30:07.089Z,TRUE,FALSE,FALSE
mmdtasiye8vwcmd4ch9,2026-03-05T18:30:19.429Z,TRUE,FALSE,FALSE
mmdtavyy1yllezd761pi,2026-03-05T18:35:34.192Z,TRUE,FALSE,FALSE
mmdz8df1d1qxd0w1s4r,2026-03-05T21:00:24.176Z,TRUE,FALSE,FALSE
