id,time,formula,pumpedMilk,breastfeedingMinutes
imp13,2026-02-25T22:00:00.000Z,30,20,15
imp14,2026-02-26T00:20:00.000Z,30,0,0
imp16,2026-02-26T03:00:00.000Z,50,0,10
imp17,2026-02-26T07:40:00.000Z,60,0,10
imp20,2026-02-26T10:20:00.000Z,20,20,0
imp24,2026-02-26T13:10:00.000Z,60,0,20
imp27,2026-02-26T16:30:00.000Z,40,20,15
imp29,2026-02-26T19:00:00.000Z,30,35,15
imp33,2026-02-26T22:15:00.000Z,40,25,10
imp37,2026-02-27T03:35:00.000Z,50,20,20
imp38,2026-02-27T07:05:00.000Z,50,20,15
imp41,2026-02-27T09:35:00.000Z,30,20,0
imp43,2026-02-27T12:35:00.000Z,60,15,0
mm52ydbo1mluythmee9,2026-02-27T15:45:18.274Z,0,60,0
mm5a0r31gdgnjjm8oam,2026-02-27T19:00:22.660Z,50,15,0
mm5h2okyp7hlcd8i9h,2026-02-27T22:36:31.065Z,50,20,20
mm5podbei03gdblqwi,2026-02-28T02:37:59.421Z,50,0,0
mm5y4vjndy6p34nx4mr,2026-02-28T06:00:00.000Z,40,30,10
mm65as8j1f991x3v44k,2026-02-28T09:10:45.016Z,40,30,0
mm6asndpz7hrmfi5mji,2026-02-28T12:05:51.247Z,40,30,0
mm6iel07kqghij29uhh,2026-02-28T15:50:54.140Z,40,15,0
mm6pnknc7d654khlr0r,2026-02-28T19:24:49.259Z,40,20,25
mm6wjawlg109491ehj4,2026-02-28T22:30:26.085Z,50,0,20
mm72u6a9ksu66i71z2m,2026-03-01T01:30:57.394Z,25,35,0
mm7a5tkfk1nb1zgkp6a,2026-03-01T04:58:54.602Z,60,0,20
mm7ij7nfnl9tdm7x1jb,2026-03-01T07:10:08.796Z,0,0,35
mm7o50cy21mauidg216,2026-03-01T09:06:00.000Z,60,0,0
mm7wmzm6bfz77x876in,2026-03-01T12:27:00.000Z,0,0,120
mm7wnpdediqyssei4ea,2026-03-01T15:20:00.000Z,0,50,0
mm82nn9885ipegygsx6,2026-03-01T17:35:24.330Z,0,0,40
mm8bfezl8a1dnjovx5u,2026-03-02T20:40:00.000Z,0,0,60
mm8e84bswnrd1ggevpp,2026-03-01T23:15:00.000Z,40,35,0
mm8n1ov1rnea60qiuyj,2026-03-02T03:20:54.761Z,50,0,15
mm8v77eoeu6iahfzztr,2026-03-02T07:00:36.884Z,0,0,30
mm90vhge9cndq1zer3,2026-03-02T08:18:00.000Z,60,0,0
mm96m2r12e1s8yyxa1e,2026-03-02T12:55:18.911Z,60,0,0
mm9gcpmkahmhc6411ad,2026-03-02T15:15:00.000Z,0,0,35
mm9kbky0m0pl4qbd4m,2026-03-02T18:35:36.927Z,40,0,20
mm9omos61al4tn8nqbi,2026-03-02T20:40:00.000Z,60,0,20
mm9u9npbkv0icqku2j,2026-03-02T23:10:00.000Z,40,40,20
mma43hda8f3qxorg4yy,2026-03-03T04:05:00.000Z,50,0,20
mmabqexzh1jqtt4jp1m,2026-03-03T07:20:00.000Z,60,0,20
mmaiw3rzjaid99xe1gr,2026-03-03T10:35:00.000Z,25,35,20
mmape7iy4z8ohvl2928,2026-03-03T13:55:00.000Z,60,0,20
mmaz7g96se38rlbkrmf,2026-03-03T18:20:00.000Z,0,65,0
mmb4dekory9yk785y0f,2026-03-03T20:52:51.961Z,60,0,20
mmbepz9gpp1mpalwrtn,2026-03-04T01:30:40.666Z,0,60,20
mmbozky8kg929tph0e,2026-03-04T06:30:00.000Z,60,0,20
mmbwtx4nfurkta3sl2h,2026-03-04T10:20:41.879Z,60,0,20
mmc7818bn6dgxt1q9i,2026-03-04T14:35:00.000Z,0,60,20
mmcgmsguo7t9pkiyn7h,2026-03-04T17:45:00.000Z,0,60,20
mmck69amt5lwu326f9n,2026-03-04T21:02:54.445Z,40,0,20
mmcw3dvh2vmsrdp71ve,2026-03-05T01:55:00.000Z,60,0,20
mmd4emp0uihgesna5yr,2026-03-05T06:25:25.197Z,0,60,20
mmdd0wt3t7grkn4x3e,2026-03-05T09:50:00.000Z,60,0,20
mmdiz9gqqwk78fcbdik,2026-03-05T12:35:00.000Z,50,0,20
mmdnlfvljoyxlta3cxn,2026-03-05T15:30:00.000Z,0,60,20
mmduqp1tmebr0z0otm,2026-03-05T18:55:19.416Z,0,60,20
mme3eiv25zpkfoisu2m,2026-03-05T22:25:00.000Z,60,0,20
mmebguzw0p5l9eb19yd,2026-03-06T02:30:56.330Z,60,0,20
mmejqts98jli73w321o,2026-03-06T06:30:00.000Z,60,0,20
mmerat72r73r0tr3qm9,2026-03-06T09:55:00.000Z,0,60,20
mmf12pp8kevzbtyo09h,2026-03-06T12:55:00.000Z,0,60,20
mmf5tcbqswqt15j0v4,2026-03-06T16:15:00.000Z,60,0,20
mmfajxqwgo6wquyi0hc,2026-03-06T19:00:00.000Z,60,0,20
mmffl6fll0nb45n6mi,2026-03-06T21:10:00.000Z,0,60,20
mmfovb4rf49n67oa565,2026-03-07T01:20:00.000Z,60,0,20
mmfx4j3e1kywnkuy35l,2026-03-07T05:21:00.000Z,0,60,20
mmg3c9xxg9io83ct639,2026-03-07T08:22:00.000Z,0,60,20
mmga2722uf4ibj5271,2026-03-07T11:31:00.000Z,0,60,20
mmgfk0dcfyloz5f0sts,2026-03-07T14:10:00.000Z,60,0,20
mmgo4teuu12tdoost2a,2026-03-07T18:07:00.000Z,60,0,20
mmgywgqpeava8cgun57,2026-03-08T21:50:00.000Z,60,0,20
mmgyx8ff9d3mdj2zym,2026-03-08T21:50:00.000Z,0,60,20
mmh069lx17aas7rf50y,2026-03-07T23:40:12.840Z,40,0,20
mmh6y2ujtqv5kfhrrfo,2026-03-08T02:55:38.904Z,60,0,20
mmhfgtw7mk5uhs173z,2026-03-08T06:30:00.000Z,0,60,15
mmhq0fda21su22jmk7s,2026-03-08T11:10:00.000Z,60,0,20
mmhypa2n0xikilmvl31m,2026-03-08T14:35:00.000Z,0,60,20
mmi1wsir2jq8tq9vrw,2026-03-08T17:15:00.000Z,0,60,20
mmiaucf56lrlin1tvvq,2026-03-09T20:40:00.000Z,0,60,20
mmii1xf4fczm451zuz,2026-03-09T00:51:00.000Z,50,0,20
mmiqa66zhb04n44uytu,2026-03-09T04:41:00.000Z,60,0,20
mmixo9qbg22wru7mpf,2026-03-09T07:45:00.000Z,0,0,40
