id,time,durationMinutes
imp6,2026-02-25T13:30:00.000Z,15
imp10,2026-02-25T16:30:00.000Z,15
imp12,2026-02-25T20:50:00.000Z,15
imp19,2026-02-26T08:00:00.000Z,35
imp23,2026-02-26T13:00:00.000Z,15
imp26,2026-02-26T16:15:00.000Z,15
imp30,2026-02-26T19:15:00.000Z,15
imp34,2026-02-26T22:10:00.000Z,15
imp36,2026-02-27T03:20:00.000Z,15
imp40,2026-02-27T08:05:00.000Z,15
imp42,2026-02-27T11:15:00.000Z,15
imp44,2026-02-27T14:15:00.000Z,35
mm56q9bt9lnw5s8scb7,2026-02-27T17:10:00.000Z,15
mm5c4o80c58bsp34d8p,2026-02-27T20:15:33.931Z,15
mm5qma50vh56sufr6m8,2026-02-28T02:20:00.000Z,20
mm5whk14f2yx8lspvro,2026-02-28T05:48:29.768Z,15
mm65ajjzu73msayqq8i,2026-02-28T09:02:00.000Z,35
mm6as7u1rvy3vo3y2j9,2026-02-28T12:05:42.080Z,15
mm6icjw434dhcd595bn,2026-02-28T15:40:11.010Z,15
mm6pnvb8yycru10mk5d,2026-02-28T19:10:08.815Z,15
mm6wjqj6xt1mqc1cpe,2026-02-28T22:20:51.752Z,15
mm73m8b7tmsubslakdi,2026-03-01T01:35:32.561Z,20
mm8002od1fg6cnp7p7d,2026-03-01T16:00:00.000Z,35
mm8n2alscbbze97a3xo,2026-03-02T03:20:55.730Z,15
mm9kbwjuwc14us5bqfq,2026-03-02T19:00:16.431Z,15
mm9olryjveslz4yo34i,2026-03-02T21:00:00.000Z,15
mm9ui6c7rvhciger2y8,2026-03-02T23:30:00.000Z,15
mm9uj4o83spwp3deivs,2026-03-02T23:30:00.000Z,15
mmabpvdmtbh51amu4s,2026-03-03T07:45:00.000Z,15
mmaiwkssekeawao39kw,2026-03-03T12:00:00.000Z,15
mmapemcrrsewfqqhrk,2026-03-03T14:20:56.606Z,15
mmaz7sy14fed768nswh,2026-03-03T18:40:37.486Z,15
mmb4l6z1vz3bj6pn0y,2026-03-03T21:15:00.000Z,20
mmbe2j7x9qb1brzw82q,2026-03-04T01:59:36.284Z,15
mmbozy1b4qiqajedkik,2026-03-04T06:50:00.000Z,15
mmbxurgoivzq2bsne1,2026-03-04T10:40:00.000Z,35
mmc78hp6ruidv7tu9hs,2026-03-04T15:00:00.000Z,15
mmcgnahc9gl33aiw2er,2026-03-04T18:05:00.000Z,15
mmck6pvgrlllzughhxn,2026-03-04T21:22:32.383Z,15
mmcu5mj7kvzokapcgyg,2026-03-05T02:17:42.174Z,15
mmd79vtblcioaea8pp,2026-03-05T06:24:00.000Z,15
mmdd15ih4aayg9pugjs,2026-03-05T10:10:00.000Z,15
mmdj243fxpyq7l2wj7,2026-03-05T12:55:00.000Z,35
mmdoky8zfo7n98koizj,2026-03-05T16:15:53.316Z,15
mmdupkcnzuu0ez6wcrc,2026-03-05T19:13:53.020Z,15
mme2jwiprn0oh4fmmde,2026-03-05T22:44:22.796Z,15
mmeb7ktq8l6kxjt286a,2026-03-06T02:52:39.286Z,15
mmejr2lmo66t2qwinl8,2026-03-06T06:50:52.335Z,15
mmerb5ikzx9cqbjkefg,2026-03-06T10:20:00.000Z,35
mmf13627t7b4vsk2aea,2026-03-06T13:15:00.000Z,15
mmf5trk1swziikxpzyd,2026-03-06T16:35:00.000Z,15
mmfakbkpgpzzgdlwnhu,2026-03-06T19:20:00.000Z,15
mmfgtcqjulck3rw3meg,2026-03-07T21:30:00.000Z,15
mmfnxuynq1xrmf0v7mn,2026-03-07T01:46:59.527Z,15
mmfx3wr549f5ioxlpse,2026-03-07T05:48:30.458Z,15
mmg32g58ky6wovaw3jn,2026-03-07T08:50:28.287Z,35
mmg9qlf4w0gk0h4csla,2026-03-07T11:57:12.991Z,15
mmgfk2s17s71rw0hq8g,2026-03-07T14:40:08.166Z,15
mmgo3lh9rd9n5fzuft,2026-03-07T18:27:20.762Z,15
mmguxevu7590opsutkd,2026-03-07T21:49:21.774Z,0
mmh6x8jfsrtrbrzn7p,2026-03-08T03:26:07.884Z,15
mmhfimsa0btug9xsfuaa,2026-03-08T07:00:41.787Z,15
mmhphg3m6tp1nikcmn2,2026-03-08T12:05:47.139Z,35
mmhyq44fzytp9ki8cv,2026-03-08T15:00:00.000Z,15
mmi1x4i3deod0y6zuz,2026-03-08T17:35:46.580Z,15
mmi935soz8etiqdy9rq,2026-03-08T21:14:33.234Z,15
mmii2b2e5f0n6wt221k,2026-03-09T01:20:42.678Z,15
mmiq6x7kr475moo9yzh,2026-03-09T05:13:21.529Z,15
